word_key;word;freq;pos
syme;Syme;519;NA
gregory;Gregory;112;NA
bull;Bull;102;NA
dr;Dr;83;NA
looked;looked;77;NA
anarchist;anarchist;74;noun
eyes;eyes;74;noun
cried;cried;70;NA
marquis;marquis;59;noun
stood;stood;58;NA
colonel;Colonel;56;NA
comrade;comrade;39;noun
sat;sat;38;NA
gogol;Gogol;36;NA
feet;feet;31;noun
struck;struck;30;NA
replied;replied;28;NA
fell;fell;27;NA
hands;hands;27;noun
mr;Mr;26;NA
called;called;25;NA
ratcliffe;Ratcliffe;25;NA
broke;broke;23;adjective
coming;coming;23;NA
spectacles;spectacles;23;noun
staring;staring;23;NA
french;French;22;adjective
mans;mans;22;noun
cab;cab;21;noun
renard;Renard;21;NA
spoke;spoke;21;NA
worms;Worms;21;NA
passed;passed;20;NA
sprang;sprang;20;NA
